mC mH tb Zd Ze
2716.2776 1925.09 1.5 0.110408 0.109804
2716.2776 2025.09 1.5 0.105123 0.104591
2716.2776 2125.09 1.5 0.102498 0.101987
2716.2776 2225.09 1.5 0.0933254 0.0929037
2716.2776 225.09 1.5 9.97085 7.62353
2716.2776 2325.09 1.5 0.0804497 0.0801295
2716.2776 2425.09 1.5 0.0572194 0.0570578
2716.2776 2525.09 1.5 0.0225203 0.0224949
2716.2776 2625.09 1.5 0.000457541 0.00045753
2716.2776 325.09 1.5 11.4168 8.55352
2716.2776 425.09 1.5 0.212217 0.210013
2716.2776 525.09 1.5 0.126682 0.125911
2716.2776 625.09 1.5 0.112016 0.111394
2716.2776 725.09 1.5 0.104239 0.103722
2716.2776 825.09 1.5 0.104675 0.10416
2716.2776 925.09 1.5 0.105436 0.104889
2816.2776 1025.09 1.5 0.0929604 0.0925374
2816.2776 1125.09 1.5 0.0918185 0.0914177
2816.2776 1225.09 1.5 0.0941278 0.0936972
2816.2776 125.09 1.5 4.84199 4.07298
2816.2776 1325.09 1.5 0.0976625 0.0971935
2816.2776 1425.09 1.5 0.0959094 0.0954588
2816.2776 1525.09 1.5 0.0877562 0.0874225
2816.2776 1625.09 1.5 0.0912303 0.0908486
2816.2776 1725.09 1.5 0.0961291 0.095683
2816.2776 1825.09 1.5 0.0973137 0.0968431
2816.2776 1925.09 1.5 0.0945581 0.094134
2816.2776 2025.09 1.5 0.0935639 0.0931308
2816.2776 2125.09 1.5 0.0922612 0.0918464
2816.2776 2225.09 1.5 0.0885022 0.0881134
2816.2776 225.09 1.5 5.18585 5.0118
2816.2776 2325.09 1.5 0.0793436 0.0790337
2816.2776 2425.09 1.5 0.0678192 0.0675912
2816.2776 2525.09 1.5 0.0488006 0.048683
2816.2776 2625.09 1.5 0.0191526 0.0191345
2816.2776 2725.09 1.5 0.000381679 0.000381671
2816.2776 325.09 1.5 10.0322 7.66465
2816.2776 425.09 1.5 0.178937 0.177389
2816.2776 525.09 1.5 0.108045 0.107467
2816.2776 625.09 1.5 0.0956321 0.0951858
2816.2776 725.09 1.5 0.0881231 0.0877689
2816.2776 825.09 1.5 0.0482964 0.0482783
2816.2776 925.09 1.5 0.0921665 0.0917489
2916.2776 1025.09 1.5 0.042236 0.0422229
2916.2776 1125.09 1.5 0.0422308 0.0422209
2916.2776 1225.09 1.5 0.0784378 0.0781461
2916.2776 125.09 1.5 4.2282 3.61343
2916.2776 1325.09 1.5 0.0836086 0.0832683
2916.2776 1425.09 1.5 0.0846952 0.08434
2916.2776 1525.09 1.5 0.0859401 0.0855752
2916.2776 1625.09 1.5 0.0833287 0.0829966
2916.2776 1725.09 1.5 0.08354 0.083198
2916.2776 1825.09 1.5 0.0850622 0.0847063
2916.2776 1925.09 1.5 0.0491526 0.0491248
2916.2776 2025.09 1.5 0.0844387 0.0840925
2916.2776 2125.09 1.5 0.0821838 0.081849
2916.2776 2225.09 1.5 0.0799771 0.0796633
2916.2776 225.09 1.5 7.9597 6.27519
2916.2776 2325.09 1.5 0.0755764 0.0753
2916.2776 2425.09 1.5 0.0708651 0.0706184
2916.2776 2525.09 1.5 0.0606357 0.0604541
2916.2776 2625.09 1.5 0.0413178 0.0412339
2916.2776 2725.09 1.5 0.0163035 0.0162905
2916.2776 2825.09 1.5 0.000321503 0.000321499
2916.2776 325.09 1.5 9.03354 7.00171
2916.2776 425.09 1.5 0.149967 0.148864
2916.2776 525.09 1.5 0.0922537 0.0918353
2916.2776 625.09 1.5 0.0825384 0.0822019
2916.2776 725.09 1.5 0.0778485 0.0775538
2916.2776 825.09 1.5 0.0802555 0.0799353
2916.2776 925.09 1.5 0.079596 0.0792816
3016.2776 1025.09 1.5 0 0
3016.2776 1125.09 1.5 0 0
3016.2776 1225.09 1.5 0 0
3016.2776 125.09 1.5 0 0
3016.2776 1325.09 1.5 0 0
3016.2776 1425.09 1.5 0 0
3016.2776 1525.09 1.5 0 0
3016.2776 1625.09 1.5 0 0
3016.2776 1725.09 1.5 0 0
3016.2776 1825.09 1.5 0 0
3016.2776 1925.09 1.5 0 0
3016.2776 2025.09 1.5 0 0
3016.2776 2125.09 1.5 0 0
3016.2776 2225.09 1.5 0 0
3016.2776 225.09 1.5 0 0
3016.2776 2325.09 1.5 0 0
3016.2776 2425.09 1.5 0 0
3016.2776 2525.09 1.5 0 0
3016.2776 2625.09 1.5 0 0
3016.2776 2725.09 1.5 0 0
3016.2776 2825.09 1.5 0 0
3016.2776 2925.09 1.5 0 0
3016.2776 325.09 1.5 0 0
3016.2776 425.09 1.5 0 0
3016.2776 525.09 1.5 0 0
3016.2776 625.09 1.5 0 0
3016.2776 725.09 1.5 0 0
3016.2776 825.09 1.5 0 0
3016.2776 925.09 1.5 0 0
3116.2776 1025.09 1.5 0 0
3116.2776 1125.09 1.5 0 0
3116.2776 1225.09 1.5 0 0
3116.2776 125.09 1.5 0 0
3116.2776 1325.09 1.5 0 0
3116.2776 1425.09 1.5 0 0
3116.2776 1525.09 1.5 0 0
3116.2776 1625.09 1.5 0 0
3116.2776 1725.09 1.5 0 0
3116.2776 1825.09 1.5 0 0
3116.2776 1925.09 1.5 0 0
3116.2776 2025.09 1.5 0 0
3116.2776 2125.09 1.5 0 0
3116.2776 2225.09 1.5 0 0
3116.2776 225.09 1.5 0 0
3116.2776 2325.09 1.5 0 0
3116.2776 2425.09 1.5 0 0
3116.2776 2525.09 1.5 0 0
3116.2776 2625.09 1.5 0 0
3116.2776 2725.09 1.5 0 0
3116.2776 2825.09 1.5 0 0
3116.2776 2925.09 1.5 0 0
3116.2776 3025.09 1.5 0 0
3116.2776 325.09 1.5 0 0
3116.2776 425.09 1.5 0 0
3116.2776 525.09 1.5 0 0
3116.2776 625.09 1.5 0 0
3116.2776 725.09 1.5 0 0
3116.2776 825.09 1.5 0 0
3116.2776 925.09 1.5 0 0
316.2776 125.09 1.5 27.1563 60.9683
316.2776 225.09 1.5 4.88806 6.08908
3216.2776 1025.09 1.5 0 0
3216.2776 1125.09 1.5 0 0
3216.2776 1225.09 1.5 0 0
3216.2776 125.09 1.5 0 0
3216.2776 1325.09 1.5 0 0
3216.2776 1425.09 1.5 0 0
3216.2776 1525.09 1.5 0 0
3216.2776 1625.09 1.5 0 0
3216.2776 1725.09 1.5 0 0
3216.2776 1825.09 1.5 0 0
3216.2776 1925.09 1.5 0 0
3216.2776 2025.09 1.5 0 0
3216.2776 2125.09 1.5 0 0
3216.2776 2225.09 1.5 0 0
3216.2776 225.09 1.5 0 0
3216.2776 2325.09 1.5 0 0
3216.2776 2425.09 1.5 0 0
3216.2776 2525.09 1.5 0 0
3216.2776 2625.09 1.5 0 0
3216.2776 2725.09 1.5 0 0
3216.2776 2825.09 1.5 0 0
3216.2776 2925.09 1.5 0 0
3216.2776 3025.09 1.5 0 0
3216.2776 3125.09 1.5 0 0
3216.2776 325.09 1.5 0 0
3216.2776 425.09 1.5 0 0
3216.2776 525.09 1.5 0 0
3216.2776 625.09 1.5 0 0
3216.2776 725.09 1.5 0 0
3216.2776 825.09 1.5 0 0
3216.2776 925.09 1.5 0 0
3316.2776 1025.09 1.5 0 0
3316.2776 1125.09 1.5 0 0
3316.2776 1225.09 1.5 0 0
3316.2776 125.09 1.5 0 0
3316.2776 1325.09 1.5 0 0
3316.2776 1425.09 1.5 0 0
3316.2776 1525.09 1.5 0 0
3316.2776 1625.09 1.5 0 0
3316.2776 1725.09 1.5 0 0
3316.2776 1825.09 1.5 0 0
3316.2776 1925.09 1.5 0 0
3316.2776 2025.09 1.5 0 0
3316.2776 2125.09 1.5 0 0
3316.2776 2225.09 1.5 0 0
3316.2776 225.09 1.5 0 0
3316.2776 2325.09 1.5 0 0
3316.2776 2425.09 1.5 0 0
3316.2776 2525.09 1.5 0 0
3316.2776 2625.09 1.5 0 0
3316.2776 2725.09 1.5 0 0
3316.2776 2825.09 1.5 0 0
3316.2776 2925.09 1.5 0 0
3316.2776 3025.09 1.5 0 0
3316.2776 3125.09 1.5 0 0
3316.2776 3225.09 1.5 0 0
3316.2776 325.09 1.5 0 0
3316.2776 425.09 1.5 0 0
3316.2776 525.09 1.5 0 0
3316.2776 625.09 1.5 0 0
3316.2776 725.09 1.5 0 0
3316.2776 825.09 1.5 0 0
3316.2776 925.09 1.5 0 0
3416.2776 1025.09 1.5 0 0
3416.2776 1125.09 1.5 0 0
3416.2776 1225.09 1.5 0 0
3416.2776 125.09 1.5 0 0
3416.2776 1325.09 1.5 0 0
3416.2776 1425.09 1.5 0 0
3416.2776 1525.09 1.5 0 0
3416.2776 1625.09 1.5 0 0
3416.2776 1725.09 1.5 0 0
3416.2776 1825.09 1.5 0 0
3416.2776 1925.09 1.5 0 0
3416.2776 2025.09 1.5 0 0
3416.2776 2125.09 1.5 0 0
3416.2776 2225.09 1.5 0 0
3416.2776 225.09 1.5 0 0
