mC mH tb Zd Ze
2816.2776 1525.09 1.5 0.000248624 0.000248657
2916.2776 1025.09 1.5 0.000211241 0.00021128
2916.2776 925.09 1.5 0.000214938 0.000214874

2816.2776 2325.09 1.5 0.000212863 0.000212882
2816.2776 2425.09 1.5 0.000183362 0.000183407
2916.2776 1125.09 1.5 0.000208731 0.000208745
2816.2776 925.09 1.5 0.000259881 0.000259865
2816.2776 825.09 1.5 0.000259296 0.000259256
2816.2776 725.09 1.5 0.000284689 0.000284725
2616.2776 1725.09 1.5 0.000360104 0.000360095
2616.2776 1825.09 1.5 0.000356661 0.000356639
2616.2776 1925.09 1.5 0.000350064 0.000350057
2616.2776 1525.09 1.5 0.000365324 0.000365344
2616.2776 1625.09 1.5 0.000363222 0.000363205
2616.2776 425.09 1.5 0.0010976 0.00109759
2916.2776 2725.09 1.5 4.1724e-05 4.2169e-05
3016.2776 1325.09 1.5 0 0
2916.2776 2525.09 1.5 0.000150926 0.000151007
3016.2776 925.09 1.5 0 0
3016.2776 1025.09 1.5 0 0
3016.2776 425.09 1.5 0 0
3016.2776 1425.09 1.5 0 0
3016.2776 2825.09 1.5 0 0
3016.2776 1125.09 1.5 0 0
3016.2776 2725.09 1.5 0 0
3016.2776 2525.09 1.5 0 0
2916.2776 2625.09 1.5 0.000106062 0.000105997
3016.2776 2625.09 1.5 0 0
3116.2776 125.09 1.5 0 0
3016.2776 1225.09 1.5 0 0
3016.2776 2925.09 1.5 0 0
3016.2776 2225.09 1.5 0 0
3016.2776 2125.09 1.5 0 0
3016.2776 2425.09 1.5 0 0
3016.2776 725.09 1.5 0 0
3016.2776 2325.09 1.5 0 0
2916.2776 2325.09 1.5 0.000190152 0.000190088
3016.2776 525.09 1.5 0 0
3016.2776 625.09 1.5 0 0
3016.2776 1625.09 1.5 0 0
3016.2776 825.09 1.5 0 0
2916.2776 2425.09 1.5 0.000176698 0.00017656
3016.2776 1525.09 1.5 0 0
3016.2776 125.09 1.5 0 0
3016.2776 1725.09 1.5 0 0
3016.2776 1925.09 1.5 0 0
3016.2776 2025.09 1.5 0 0
3016.2776 1825.09 1.5 0 0
3016.2776 325.09 1.5 0 0
3016.2776 225.09 1.5 0 0
2916.2776 2825.09 1.5 1.76996e-05 9.01576e-06
2916.2776 2225.09 1.5 0.000197553 0.000197524
2916.2776 2025.09 1.5 0.000204075 0.000204053
2916.2776 1825.09 1.5 0.000206132 0.000206009
2916.2776 2125.09 1.5 0.000201942 0.000201929
2916.2776 1925.09 1.5 0.000205266 0.000205306
3116.2776 2025.09 1.5 0 0
3216.2776 2025.09 1.5 0 0
3116.2776 1925.09 1.5 0 0
3216.2776 2125.09 1.5 0 0
3216.2776 2225.09 1.5 0 0
3316.2776 2625.09 1.5 0 0
3316.2776 1925.09 1.5 0 0
3216.2776 2425.09 1.5 0 0
3216.2776 2925.09 1.5 0 0
3216.2776 3025.09 1.5 0 0
3316.2776 1725.09 1.5 0 0
3316.2776 425.09 1.5 0 0
3216.2776 2325.09 1.5 0 0
3216.2776 325.09 1.5 0 0
3316.2776 1825.09 1.5 0 0
3216.2776 3125.09 1.5 0 0
3316.2776 1025.09 1.5 0 0
3316.2776 2725.09 1.5 0 0
3316.2776 925.09 1.5 0 0
3216.2776 225.09 1.5 0 0
3116.2776 525.09 1.5 0 0
3116.2776 625.09 1.5 0 0
3316.2776 2425.09 1.5 0 0
3316.2776 2125.09 1.5 0 0
3216.2776 425.09 1.5 0 0
3316.2776 2325.09 1.5 0 0
3316.2776 625.09 1.5 0 0
3316.2776 2025.09 1.5 0 0
3316.2776 525.09 1.5 0 0
3216.2776 525.09 1.5 0 0
3116.2776 2525.09 1.5 0 0
3316.2776 2225.09 1.5 0 0
3316.2776 2525.09 1.5 0 0
3216.2776 1825.09 1.5 0 0
3216.2776 1725.09 1.5 0 0
3116.2776 2425.09 1.5 0 0
3116.2776 725.09 1.5 0 0
3216.2776 1925.09 1.5 0 0
3316.2776 325.09 1.5 0 0
3216.2776 725.09 1.5 0 0
3116.2776 1825.09 1.5 0 0
3116.2776 1625.09 1.5 0 0
3216.2776 625.09 1.5 0 0
3216.2776 825.09 1.5 0 0
3216.2776 1025.09 1.5 0 0
3316.2776 125.09 1.5 7.8628e-06 0
3316.2776 225.09 1.5 0 0
3216.2776 925.09 1.5 0 0
3116.2776 1725.09 1.5 0 0
3116.2776 2725.09 1.5 0 0
3116.2776 2825.09 1.5 0 0
3116.2776 2625.09 1.5 0 0
3116.2776 325.09 1.5 0 0
3116.2776 225.09 1.5 3.29424e-06 0
3216.2776 125.09 1.5 0 0
3116.2776 3025.09 1.5 0 0
3116.2776 2925.09 1.5 0 0
3116.2776 425.09 1.5 0 0
3316.2776 725.09 1.5 0 0
